"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Iceland","ISL","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Israel","ISR","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Italy","ITA","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","","","","","","","","","","","","","","","","",
"Jamaica","JAM","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98","","","","","","","","99","93.8","98.4","66.6","70.1","98.1","","","90.5","","","99","","","97.7","","","","","","","","","",
"Jordan","JOR","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.2","","","","","","","95.6","","","","","98.6","","","","","98.8","","","","","99.1","","","","","","97.6","","",
"Japan","JPN","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.5","","","","94.4","","","","","","","99.9","","","","","99.2","","","","99.3","","","","","",
"Kenya","KEN","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.2","","","","94.9","","","","","91.9","","76.2","","","88.1","","","","","","91.5","85.8","","","","95.5","93.7","","","","","",
"Kyrgyz Republic","KGZ","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.3","","","","","","","","","96.9","","","","","","97","","98.4","","","","99.8","","",
"Cambodia","KHM","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.3","","37.7","","","","","69.3","69.3","","","","89.1","89.1","","","95.3","","","","","","",
"Kiribati","KIR","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","","","","","","","","","","","","","","100","88.4","","","","","","","","","","89.2","",
"St. Kitts and Nevis","KNA","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","71.3","100","100","","100","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kuwait","KWT","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","","","","","","","","","","","100","","","","","","","","","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.4152427378403","","","","","","","97.1163527812182","","","",
"Lao PDR","LAO","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.5","26.5","","","","28.7","35.1","","","","71","","54.2","","","","","78.4","","","",
"Lebanon","LBN","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87","","","","","","","95.6","","95.6","","","","","","","","","","","","","","","","",
"Liberia","LBR","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","82.9","","","","","","","","","","","","","","84.4","","","","","","","79.3","","95.3","","95.4","","95.9","","","97.9","","","","97.8",
"Libya","LBY","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.8","","","","","","","","","","","","93","","","","","","","","","","","","","",
"St. Lucia","LCA","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","47.8","","","","99.2","99.2","99.2","99.2","","","","","96.9","","","","","","","","",
"Latin America & Caribbean","LCN","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.41187537689","","","","","","","97.1163527812182","","","",
"Least developed countries: UN classification","LDC","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.7349415295098","","","","","","","","","","72.0457499268226","","","","","","","81.9683859807337","","","",
"Low income","LIC","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.1475333232795","","","","","","","","","","72.7857102789413","","","","","","","80.1148487992026","","","",
"Liechtenstein","LIE","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.2","","","","","","","94.5","","","","","","","99.4","","","","","","","95.5","","98.8","","","","",
"Lower middle income","LMC","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.7010165292094","","","","","","","","","","","","","","","","","84.061490352362","","","",
"Low & middle income","LMY","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.0096521796139","","","","","","","","","","81.9745401446847","","","","","","","87.055888630771","","","",
"Lesotho","LSO","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.6","","87.6","","","","","84.7","","","","90.4","90.4","","","","91.8","","","","","95.2","","","","91.3","","",
"Late-demographic dividend","LTE","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.3436593535149","","","","","","","","","","94.6698537439618","","","","","","","98.4182637675254","","","",
"Lithuania","LTU","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","",
"Luxembourg","LUX","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latvia","LVA","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.8","","","","","","","","","","","","","","","","",
"Macao SAR, China","MAC","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.7","","","","","32.3","","","44.7","","42","","","","","","","67.8","","","","","","","77.1","","","","","","","88.5","","",
"Monaco","MCO","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.8","","","","","","","","98","","","","","","","98.8","","","","","","","","",
"Madagascar","MDG","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.2","","","","","76.8","","","71.2","","","","79.9","","","","","86.3","","83.1","","82.1","","","87","","85.1","","",
"Maldives","MDV","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81","","","95","","","","","99.1","","","","","","","","98.7","","","",
"Middle East & North Africa","MEA","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.1785252938321","","","","","","","","","","",
"Mexico","MEX","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.5","","","","","","","","86.1","","","","","","","","","","","97.7","","","95.8","","","97.6","","97.2","98.5","","","","","",
"Marshall Islands","MHL","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.2","","","","","","","","","","","","","",
"Middle income","MIC","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.6921009800666","","","","","","","","","","84.2378607350913","","","","","","","88.3876326278741","","","",
"North Macedonia","MKD","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","81","","","","","","98.1","","","","","98.6","","","","","","","","97.3","",
"Mali","MLI","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.4","","","","","","","","","46.9","","","","","56.8","","","","","70.4","","","","34.7","","","74.2","","42.1","","","79.5","","",
"Malta","MLT","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","",
"Myanmar","MMR","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.8","","","","75.6","","","","","","79.8","","","83.1","","","","","","80.7","","","","",
"Middle East & North Africa (excluding high income)","MNA","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.0234729971013","","","","","","","","","","",
"Montenegro","MNE","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.4","","","","","","","91.7","","","","","97.2","","",
"Mongolia","MNG","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.8","","96.7","","","98.2","","98.9","","","99.5","","99","","","98.7","98.7","","","","99.1","","",
"Northern Mariana Islands","MNP","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.4","","","75.8","","","84.5","","","","","92.3","","","90.6","","","","87.2","","","94","","",
"Mauritania","MRT","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","","","","","","","","","","63.9","","","","","","75.4","","","","84.2","","","","86.9","","","","","",
"Mauritius","MUS","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Malawi","MWI","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.7","","","","","","","","91.4","","94.3","","92.2","92.1","91.9","","","","94.7","","97.7","","96.1","","94.8","97.6","","","",
"Malaysia","MYS","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.6","","78.8","","","","90.7","","97.4","96.5","98","97.2","","","","","","",
"North America","NAC","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Namibia","NAM","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.2","","","","","","","","90.6","","","","","","","94.6","","","","","","96.6","","","","","","","",
"New Caledonia","NCL","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.1","","","","","","39.3","","41","","","","","","46.1","","","","","","82.8","","","","","","","","",
"Nigeria","NGA","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","78.8","","","","56.5","","","","","","","","","63.6","","","","58","","","","","57.7","","54.1","66.2","","60.6","","62.6","","65.8","67","","",
"Nicaragua","NIC","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.5","","","","","81.5","","","85.5","","","","","","90.2","","","","","94.7","","","","","","","","",
"Netherlands","NLD","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Norway","NOR","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Nepal","NPL","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.4","","","","","23.6","","","","27","27.9","","","","","43.7","","","","","58.3","","","68.3","","83.6","83.6","","88.8","",
"Nauru","NRU","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.5","","","","","","","","","","","","","",
"New Zealand","NZL","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OECD members","OED","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Oman","OMN","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","","","","","","","","98.2","","","96","96","99.6","","","","","","","","97.8","99","","","99","","98.6","","","","","","",
"Other small states","OSS","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pakistan","PAK","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.6","","","","","","26.4","","24.8","","43.3","","","","36","","60.9","56","","","","","73.1","","","","","86.2","","",
"Panama","PAN","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.2","","","","","","","","","","","95.8","","","","93.4","","99.1","","","","","",
"Peru","PER","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","55.7","","","","","","63.9","","","","67.3","","","","83.8","","","","91.1","","91","","94.5","94.3","94.7","95.4","96","95.9","96.9","97","97.6","97.5","98.1","98.2","",
"Philippines","PHL","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.1","","","","","85.7","85.9","85.9","","","87.6","","","","","91.1","","","94.5","","95.4","","","","93.8","","","",
"Palau","PLW","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","","90.3","","","","","","","","","","",
"Papua New Guinea","PNG","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.7","","","","","","","","","","78.8","","","","","","","","","","","","76.1","","",
"Poland","POL","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pre-demographic dividend","PRE","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.2904590815936","","","","","","","","","","75.2547509327236","","","","","","","80.7981136268866","","","",
"Puerto Rico","PRI","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People's Rep.","PRK","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.1","","","","","","","","","100","","","","","","","","99.5","","","",
"Portugal","PRT","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","",
"Paraguay","PRY","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.9","","","","","","88.7","","89","","","","","","94.2","","","","96.3","","","","","","","","98.7","","","","",
"West Bank and Gaza","PSE","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.6","","","","","","98.8","","","","98","","","","99.4","","","","","","",
"Pacific island small states","PSS","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Post-demographic dividend","PST","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"French Polynesia","PYF","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","94","","","","","","","","","","","","","","","","","","","","","","100","","","90.8","","","","","","","","",
"Romania","ROU","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.5","","","","","","","","","","","76.3","","","","","",
"Russian Federation","RUS","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Rwanda","RWA","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.4","","","","","","","","91.5","","","","","94.4","","","95.8","","98","98","","99.4","","99","","97.6","","","97.7",
"South Asia","SAS","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.7823378416079","","","","","","","","","","","","","","","","","79.9852516403295","","","",
"Saudi Arabia","SAU","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","","","","","","","97","","","","","","","","","","","","",
"Sudan","SDN","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.2","","","","","","","","","","60","","","","","","74.1","","","","74.3","","","","79.1","","","","","","",
"Senegal","SEN","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","62.5","","","","","","","73.6","","","","82.1","","","79","","","","","87.4","91.4","","","94","","93.3","","94.5","96.2","95","95.9","97.1","97.7","97.6","",
"Singapore","SGP","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Solomon Islands","SLB","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.9","","","","","","","","88.5","","","","","",
"Sierra Leone","SLE","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.9","","","","","81.1","","","86.9","","93","","","97.1","","","94.2","97.4","","97.9","",
"El Salvador","SLV","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.7","","","","","76","","","","","86","","","","","94","","","","","","96","","","","","","",
"San Marino","SMR","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.3","32.3","","","","","","26.1","","","","","","","","","","","","","31.1","",
"Serbia","SRB","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.2","","","","99","","","","98.3","","","","","99.4","",
"Sub-Saharan Africa (excluding high income)","SSA","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.3549389735054","","","","","","","","","","73.5931079793831","","","","","","","81.6178075953926","","","",
"South Sudan","SSD","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.2","","","","40.3","","","61.9","","","","","","","",
"Sub-Saharan Africa","SSF","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.3549389735054","","","","","","","","","","73.5931079793831","","","","","","","81.6178075953927","","","",
"Small states","SST","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.745403874514","","","","","","","","","","","","","","","","","","","","",
"Sao Tome and Principe","STP","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.6","","","","","","97.3","","","97.9","","","","","97.5","","","","","98.1","",
"Suriname","SUR","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","","91","","90.6","","90","","90","","89.9","","","","90.9","","","","","","","","84.8","","",
"Slovak Republic","SVK","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.9","","","","","","","","","","","","","","","","",
"Slovenia","SVN","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98","","","","","","","","","","","","99.5","","","","","","","","","","","","","","","","",
"Sweden","SWE","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","","","","","","","","","","","","","","","",
"Eswatini","SWZ","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.6","","89.8","","","","","84.8","","","96.8","","","","98.5","","","","","","",
"Sint Maarten (Dutch part)","SXM","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Syrian Arab Republic","SYR","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","","","","","","","71.2","","","","","","84","","","87.7","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","","","","","100","","100","","","","","","","","","","","","","","",
"Chad","TCD","Pregnant women receiving prenatal care (%)","SH.STA.ANVC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.4","","","41.6","","","","38.9","","","","","","53.2","","","","","54.7","","","","","",
